Timestamp,Alpha,Beta,Theta,Delta
1700952015,-0.024229248,-0.154207852,0.030625133,-0.162861801
1700952015,-0.454483703,-0.168321072,0.081711453,0.0621179
1700952015,-0.283257132,-0.166382536,0.007746254,0.026213168
1700952016,-0.133967721,-0.197559817,-0.087702211,-0.279021728
1700952016,-0.049689823,-0.131552128,-0.206282524,-0.195416628
1700952016,-0.070965556,-0.078645988,-0.511938645,-0.019009501
1700952016,-0.142612062,-0.090659613,-0.628692089,-0.048972451
1700952016,-0.468972431,-0.229984786,-0.475497919,-0.277786161
1700952017,-0.623890349,-0.304935984,-0.464364396,-0.327550848
1700952017,-0.30990851,-0.34117001,-0.531175116,-0.582594823
1700952017,-0.090697054,-0.278373153,-0.451955108,-0.235227312
1700952017,-0.093527922,-0.253978963,-0.278173724,-0.055476726
1700952017,-0.189678375,-0.342087524,-0.159523847,-0.167158077
1700952018,-0.230611378,-0.382784556,-0.084013586,0.058572577
1700952018,-0.236021518,-0.286274382,-0.115186926,0.039329395
1700952018,-0.205184851,-0.187940637,-0.085136502,-0.089523506
1700952018,-0.252293727,-0.207598301,0.117786578,-0.049289213
1700952018,-0.44202806,-0.297808627,0.060973408,0.072662872
1700952019,-0.352206759,-0.275766434,-0.316356106,-0.132150775
1700952019,-0.282935347,-0.236224102,-0.325625513,-0.043392393
1700952019,-0.240542908,-0.222329465,-0.097703811,-0.124943635
1700952019,-0.350002308,-0.239317782,-0.085969524,0.015391567
1700952019,-0.362100047,-0.24678569,-0.116633497,-0.039999146
1700952020,-0.252768629,-0.29976786,-0.258360541,-0.141765968
1700952020,-0.176141086,-0.405911824,-0.536123412,-0.100061206
1700952020,-0.285985922,-0.398255967,-0.304790314,-0.369207937
1700952020,-0.369506855,-0.320717381,-0.068158986,-0.392735858
1700952020,-0.292112082,-0.330300292,0.049254758,-0.116558105
1700952021,-0.256451068,-0.259392179,0.099067849,-0.162239834
1700952021,-0.286015656,-0.302137292,-0.046744282,-0.089562515
1700952021,-0.168146058,-0.420966533,-0.268539312,-0.017507711
1700952021,-0.215696199,-0.41189623,-0.195091436,-0.023386335
1700952021,-0.149804361,-0.428941472,-0.253688925,-0.09743585
1700952022,-0.01691786,-0.441647195,-0.424382826,-0.27299149
1700952022,-0.005960821,-0.357908118,-0.292725535,0.108641733
1700952022,-0.008134036,-0.260416438,-0.201411827,0.173616886
1700952022,-0.139613649,-0.321931279,-0.17080354,0.075969846
1700952022,-0.227254424,-0.449129149,-0.261195857,-0.038750535
1700952023,-0.431605198,-0.442312499,-0.324750147,0.052889634
1700952023,-0.287991568,-0.367141273,-0.164017299,0.091610248
1700952023,-0.269376063,-0.313852283,0.03184718,-0.188481774
1700952023,-0.370216405,-0.298461093,0.048411899,-0.055966094
1700952023,-0.149761648,-0.213208986,-0.11114557,-0.097845723
1700952024,-0.137201335,-0.119926482,-0.08857871,0.253447701
1700952024,-0.109790714,-0.073540436,0.10892425,1.040334036
1700952024,-0.051311649,-0.045653778,0.521298784,1.251060449
1700952024,-0.052070705,-0.025042376,0.695087696,1.533648822
1700952024,-0.138398524,-0.07710724,0.659203189,1.579356017
1700952025,-0.148894513,-0.169837131,0.819050106,1.556910938
1700952025,-0.015297462,-0.206006418,0.815081404,1.415190613
1700952025,0.071518589,-0.154516009,0.512984318,1.09196224
1700952025,0.048839272,-0.084455185,0.182581207,0.955291169
1700952025,-0.057252341,-0.075004473,0.132502713,0.887339883
1700952026,-0.106206491,-0.076383968,0.045542838,0.818964203
1700952026,0.148352996,-0.00571472,0.277142831,0.90273032
1700952026,0.270395459,0.032501914,0.534469304,1.031610344
1700952026,0.093748036,-0.06182017,0.452993045,0.994172453
1700952026,-0.388557506,-0.170425118,0.160779187,0.597956639
1700952027,-0.437395238,-0.116395771,-0.097504388,0.711589919
1700952027,-0.297448805,-0.079831029,-0.258231496,0.643771929
1700952027,-0.112265348,-0.067891632,-0.312196699,0.307713723
1700952027,-0.071679577,-0.111821634,-0.04558255,0.081771978
1700952027,-0.153129657,-0.118650505,0.048522181,-0.286506652
1700952028,0.08040348,-0.0700195,0.049222996,-0.1508737
1700952028,0.137917955,0.005212763,-0.052511548,-0.014326231
1700952028,-0.081923121,0.094614425,-0.185487987,0.088916021
1700952028,-0.157778773,0.066929462,-0.136420577,-0.092957569
1700952028,-0.036342218,-0.075998038,-0.037168202,-0.06120583
1700952029,-0.118767888,-0.083529571,0.048087716,-0.069300348
1700952029,-0.220200031,-0.009381737,-0.036062875,-0.121301054
1700952029,-0.195661023,-0.018799354,-0.060760871,-0.009778247
1700952029,-0.123276632,0.021189686,-0.026207127,-0.351032219
1700952029,-0.185874359,-0.059342328,-0.029282381,-0.139838541
1700952030,-0.096607828,-0.144092472,0.007119603,-0.241355951
1700952030,-0.128587446,-0.063003941,-0.068141986,-0.131253151
1700952030,-0.259980165,-0.04723204,-0.056022722,-0.192173661
1700952030,-0.165605281,-0.01734384,-0.150689631,-0.123332959
1700952030,-0.172122172,0.004889865,-0.037784044,-0.038003615
1700952031,-0.233589116,-0.030077121,-0.018497704,-0.116159199
1700952031,-0.179772523,-0.077594254,-0.123184557,-0.180922649
1700952031,-0.331913077,-0.025975237,-0.074150292,-0.085607015
1700952031,-0.123796379,0.03409512,0.044062967,0.08779717
1700952031,-0.08206927,0.016953439,-0.075995993,-0.039822665
1700952032,-0.156565487,0.04473053,-0.192437943,-0.062989346
1700952032,-0.299394152,0.059372017,-0.214600088,-0.304706388
1700952032,-0.224819704,0.058061651,-0.131420579,-0.108513136
1700952032,-0.234431905,0.03790165,-0.102701688,-0.121608823
1700952032,-0.236313961,-0.010774051,-0.157349825,-0.003539987
1700952033,-0.108943021,0.003415119,-0.351699405,0.030595647
1700952033,-0.148747774,0.013902444,-0.30332345,-0.042095342
1700952033,-0.307643158,0.08401776,-0.367315905,-0.110712121
1700952033,-0.02427084,0.076269791,-0.126417251,-0.208113439
1700952033,0.080183933,0.026659513,-0.019232828,-0.236878585
1700952034,-0.072184437,-0.024514049,-0.024942943,-0.1712809
1700952034,-0.211127111,-0.022825444,0.04711559,-0.210518935
